match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,timeseconds,spendtimeinlastfewshots,p1serveno,p2serveno,p1aceno,p2aceno,p1firstserveinnum,p2firstserveinnum,p1doublefaultnum,p2doublefaultnum,p1winnernum,p2winnernum,p1netnum,p2netnum,p1netwinnernum,p2netwinnernum,p1unforcederrornum,p2unforcederrornum,p1rundistance,p2rundistance,totalrallylengthinlastfewpoints,p1breakpointnum,p2breakpointnum,p1breakpointwinnum,p2breakpointwinnum,p1breakpointlosenum,p2breakpointlosenum,p1servewidthindex,p2servewidthindex,p1servedepthindex,p2servedepthindex,p1servespeedindex,p2servespeedindex,p1returndepthindex,p2returndepthindex
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,95,-95,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,213,-213,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,91,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,25.053,34.742,7,0,0,0,0,0,0,1,-1,1,-1,333,-333,3,-3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,141,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,70.161,102.533,18,0,0,0,0,0,0,1,-1,2,-2,368,-368,3,-3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,170,170,3,0,1,0,3,0,0,0,2,0,0,1,0,0,1,0,65.557,96.252,18,0,0,0,0,0,0,3,-3,1,-1,362,-362,3,-3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,213,175,3,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,57.048,80.693,16,0,0,0,0,0,0,4,-4,1,-1,339,-339,3,-3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,241,180,3,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,12.757,22.883,4,0,0,0,0,0,0,5,-5,1,-1,318,-318,3,-3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,288,197,3,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,29.611,40.137,9,0,0,0,0,0,0,3,-3,1,-1,311,-311,3,-3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,332,191,3,0,1,0,2,0,0,0,1,1,1,1,1,1,0,0,58.809,60.482,14,0,0,0,0,0,0,3,-3,2,-2,342,-342,3,-3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,1,0,425,255,3,0,0,0,2,0,0,0,0,1,1,1,1,1,0,0,73.227,70.088,18,0,0,0,0,0,0,1,-1,1,-1,343,-343,3,-3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,448,235,2,1,0,1,2,1,0,0,0,1,1,0,1,0,0,0,61.509,56.936,13,0,0,0,0,0,0,-1,1,0,0,126,-126,3,-3
