match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,timeseconds,spendtimeinlastfewshots,p1serveno,p2serveno,p1aceno,p2aceno,p1firstserveinnum,p2firstserveinnum,p1doublefaultnum,p2doublefaultnum,p1winnernum,p2winnernum,p1netnum,p2netnum,p1netwinnernum,p2netwinnernum,p1unforcederrornum,p2unforcederrornum,p1rundistance,p2rundistance,totalrallylengthinlastfewpoints,p1breakpointnum,p2breakpointnum,p1breakpointwinnum,p2breakpointwinnum,p1breakpointlosenum,p2breakpointlosenum,p1servewidthindex,p2servewidthindex,p1servedepthindex,p2servedepthindex,p1servespeedindex,p2servespeedindex,p1returndepthindex,p2returndepthindex
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,95,-95,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,61,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,11.253,14.934,3,0,0,0,0,0,0,1,-1,1,-1,213,-213,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,91,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,19.053,26.902,5,0,0,0,0,0,0,0,0,1,-1,238,-238,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,141,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,64.908,95.439,17,0,0,0,0,0,0,1,-1,1,-1,250,-250,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,170,170,2,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,51.757,76.444,14,0,0,0,0,0,0,3,-3,1,-1,242,-242,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,213,175,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5.94,5.062,3,0,0,0,0,0,0,3,-3,0,0,209,-209,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,241,180,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,12.108,22.07,3,0,0,0,0,0,0,3,-3,1,-1,206,-206,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,288,197,2,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,24.32,35.888,7,0,0,0,0,0,0,2,-2,1,-1,214,-214,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,332,191,2,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,51.992,42.661,13,0,0,0,0,0,0,1,-1,1,-1,233,-233,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,1,0,425,255,2,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,55.724,52.021,12,0,0,0,0,0,0,1,-1,1,-1,238,-238,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,448,235,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,27.02,32.342,6,0,0,0,0,0,0,-2,2,-1,1,-2,2,2,-2
